GEO,COICOP,TIME,VALUE
FI,CP00,2024-10-01,1.5
FI,CP00,2024-11-01,1.7
FI,CP00,2024-12-01,1.6
FI,CP00,2025-01-01,1.7
FI,CP00,2025-02-01,1.5
FI,CP00,2025-03-01,1.8
FI,CP00,2025-04-01,1.9
FI,CP00,2025-05-01,2.0
FI,CP00,2025-06-01,1.9
FI,CP00,2025-07-01,1.9
FI,CP00,2025-08-01,2.3
FI,CP00,2025-09-01,2.2
FI,CP00,2025-10-01,1.4
FI,CP00,2025-11-01,1.5
FI,CP00,2025-12-01,1.7
FI,CP00,2026-01-01,1.0
FI,CP00,2026-02-01,1.8
FR,CP00,1996-02-01,
FR,CP00,1996-03-01,
FR,CP00,1996-04-01,
FR,CP00,1996-05-01,
FR,CP00,1996-06-01,
FR,CP00,1996-07-01,
FR,CP00,1996-08-01,
FR,CP00,1996-09-01,
FR,CP00,1996-10-01,
FR,CP00,1996-11-01,
FR,CP00,1996-12-01,
FR,CP00,1997-01-01,1.8
FR,CP00,1997-02-01,1.7
FR,CP00,1997-03-01,1.1
FR,CP00,1997-04-01,1.0
FR,CP00,1997-05-01,0.9
FR,CP00,1997-06-01,1.0
FR,CP00,1997-07-01,1.1
FR,CP00,1997-08-01,1.6
FR,CP00,1997-09-01,1.4
FR,CP00,1997-10-01,1.1
FR,CP00,1997-11-01,1.3
FR,CP00,1997-12-01,1.2
FR,CP00,1998-01-01,0.6
FR,CP00,1998-02-01,0.7
FR,CP00,1998-03-01,0.8
FR,CP00,1998-04-01,1.0
FR,CP00,1998-05-01,0.9
FR,CP00,1998-06-01,1.0
FR,CP00,1998-07-01,0.8
FR,CP00,1998-08-01,0.7
FR,CP00,1998-09-01,0.5
FR,CP00,1998-10-01,0.5
FR,CP00,1998-11-01,0.2
FR,CP00,1998-12-01,0.3
FR,CP00,1999-01-01,0.3
FR,CP00,1999-02-01,0.3
FR,CP00,1999-03-01,0.4
FR,CP00,1999-04-01,0.5
FR,CP00,1999-05-01,0.4
FR,CP00,1999-06-01,0.3
FR,CP00,1999-07-01,0.4
FR,CP00,1999-08-01,0.5
FR,CP00,1999-09-01,0.6
FR,CP00,1999-10-01,0.8
FR,CP00,1999-11-01,0.9
FR,CP00,1999-12-01,1.4
FR,CP00,2000-01-01,1.7
FR,CP00,2000-02-01,1.4
FR,CP00,2000-03-01,1.6
FR,CP00,2000-04-01,1.3
FR,CP00,2000-05-01,1.5
